player,forehand_winner_per,backhand_winner_per,forehand_unforced_error_per,backhand_unforced_error_per,net_per,net_point_direct_win_per,net_point_winning_per,net_point_error_per,passing_per,winner_per,err_per,pts_won_Ite_3_shots_per,shots_in_pts_won_per,shots_in_pts_lost_per,shots_in_won_vs_lost_ratio,inside_in_per,inside_out_per,Counter Puncher,Attacking Baseliner,All-Court Player,Solid Baseliner
Marius Copil,6.84,5.05,8.32,9.27,23.38,41.02,15.74,46.13,15.24,35.57833333333334,35.905,41.96,50.23,49.78,1.18,0.71,8.08,1.0749206490532497e-05,99.7560496304921,0.025108508833269805,0.21883111146805564
Mark Philippoussis,6.8,4.97,4.11,5.18,37.23,33.77,23.98,31.0,8.87,38.35,32.093333333333334,48.05,47.62,52.38,0.95,1.74,7.12,7.776540559341346e-11,0.02271493225406957,6.118635652307391e-10,99.9772850670563
Marsel Ilhan,0.0,1.2,22.89,7.23,7.23,0.0,6.02,50.0,20.0,14.29,45.78,28.8,27.5,72.5,0.38,1.63,25.2,99.99999809428888,1.905528845756586e-06,1.822225104147175e-10,1.3753041960962492e-15
Martin Klizan,7.08,3.18,10.19,8.68,9.66,58.06,5.61,38.34,13.11,26.749,35.803,34.12,50.5,49.5,1.16,0.92,7.44,0.0005569999612443044,99.99891841394427,0.0005233276922907257,1.2584022245677096e-06
Martin Redlicki,9.17,4.17,15.83,11.67,26.67,60.87,19.17,34.38,0.0,35.09,40.0,30.58,45.31,54.69,0.83,1.92,14.74,91.49300063475732,8.305130379169888,3.7683869325414814e-05,0.20183130220345546
Marton Fucsovics,7.06,3.18,9.43,8.04,10.83,57.99,7.7,35.11,10.68,26.49181818181818,31.480909090909087,29.57,47.81,52.19,0.95,2.31,10.37,0.003721794960308494,99.996154118085,9.960844154721006e-05,2.4478513205622105e-05
Mats Wilander,6.53,6.82,4.52,6.66,26.29,34.45,16.46,44.91,12.38,30.394,27.569333333333336,26.67,50.84,49.16,1.1,0.37,8.39,9.091738290736802e-07,72.76675718570692,0.004003251624723487,27.229238653494374
Matt Reid,4.58,1.83,11.04,9.12,9.04,0.0,2.06,85.0,18.83,24.58,35.835,35.06,33.9,66.1,0.56,1.77,16.14,2.4719357270133726e-05,19.18303661680993,80.81693865209732,1.1735447597348598e-08
Matteo Arnaldi,9.38,3.91,19.53,6.25,21.09,45.0,15.62,40.74,7.14,36.84,35.94,37.8,41.88,58.12,0.72,2.46,11.33,99.99603128333747,0.003966381716799369,2.0823236423804806e-09,2.3328632885356784e-06
Matteo Berrettini,8.1,2.13,11.41,5.63,11.06,68.09,7.44,46.63,14.1,33.325714285714284,32.998571428571424,44.33,45.84,54.16,0.89,1.14,11.18,0.0017166486006794442,99.99765483797411,0.0006170057741034397,1.150765119029259e-05
